timestamp,class1,class2,class3,score1,score2,score3
0.0,Breathing,Snoring,Snort,0.9235118,0.9116222,0.19194578
0.48,Breathing,Snoring,Snort,0.9793448,0.9697127,0.13055721
0.96,Breathing,Snoring,Snort,0.95113534,0.93014675,0.32204416
1.44,"Inside, small room",Breathing,Snoring,0.2906775,0.15133464,0.12467278
1.92,Silence,"Inside, small room","Boat, Water vehicle",0.24070688,0.12403625,0.038487487
2.4,Silence,"Inside, small room",Speech,0.74363077,0.06959395,0.005767425
2.88,Silence,"Inside, small room",Speech,0.9075588,0.01693497,0.0010068819
3.36,Breathing,Snoring,Snort,0.6694283,0.6639313,0.32926738
3.84,Breathing,Snoring,Snort,0.5082268,0.45647663,0.19831073
4.32,Spray,Liquid,White noise,0.2802513,0.27558336,0.09641357
4.8,Breathing,Snoring,Snort,0.8715614,0.81672657,0.54387116
5.279999999999999,Breathing,Snoring,Snort,0.88335425,0.8770609,0.10789745
5.76,"Inside, small room",Silence,Breathing,0.19730596,0.18255557,0.05487088
6.24,Silence,"Inside, small room",Tick,0.71783376,0.10969842,0.00916027
6.72,Silence,"Inside, small room",Speech,0.79772913,0.06872108,0.0023249523
7.199999999999999,"Inside, small room",Silence,Speech,0.17777285,0.118000984,0.029319214
7.68,Breathing,Snoring,Silence,0.98855996,0.98196375,0.04025725
8.16,Breathing,Snoring,Snort,0.98459405,0.97118264,0.24704891
8.64,Snoring,Breathing,Snort,0.9854374,0.98525596,0.032947697
9.12,Breathing,Snoring,"Inside, small room",0.9943156,0.9926397,0.0038519409
9.6,Speech,"Inside, small room","Child speech, kid speaking",0.67694795,0.0707004,0.009984833
10.08,Silence,"Inside, small room",Television,0.682065,0.11720091,0.004952254
10.559999999999999,Silence,"Inside, small room",Clicking,0.8691326,0.073633894,0.003890145
11.04,Silence,"Inside, small room",Speech,0.78406596,0.042615578,0.0016765487
11.52,Snoring,Breathing,"Inside, small room",0.47695714,0.42931134,0.20886672
12.0,Breathing,Snoring,"Inside, small room",0.998385,0.9977187,0.0035773169
12.48,Breathing,Snoring,Silence,0.9997329,0.9988208,0.0013638365
12.959999999999999,Breathing,Snoring,Animal,0.99100536,0.9841296,0.0059617697
13.44,Breathing,Snoring,Silence,0.995811,0.9942473,0.0063495925
13.92,Speech,"Inside, small room",Silence,0.20141739,0.11359403,0.028706074
14.399999999999999,Silence,"Inside, small room",White noise,0.6117561,0.054139085,0.045486104
14.879999999999999,Silence,"Inside, small room",Speech,0.9580778,0.005472824,0.00022424143
15.36,"Inside, small room",Silence,Mechanical fan,0.26643336,0.25487107,0.03824831
15.84,Breathing,Snoring,Snort,0.9964184,0.99016243,0.04789792
16.32,Breathing,Snoring,"Inside, small room",0.9995515,0.99938756,0.0014397949
16.8,Breathing,Snoring,"Inside, small room",0.9997442,0.99949867,0.0005944783
17.28,Breathing,Snoring,Silence,0.99970007,0.99939364,0.0019198257
17.759999999999998,Breathing,Snoring,Silence,0.99581164,0.9944911,0.013156902
18.24,Silence,"Inside, small room",Breathing,0.86887056,0.03432446,0.0015621843
18.72,Silence,"Inside, small room",Tick,0.5523036,0.17637564,0.017823605
19.2,Silence,"Inside, small room",Television,0.87691295,0.01305345,0.0014607711
19.68,Breathing,Snoring,Silence,0.9759231,0.96875364,0.04270194
20.16,Breathing,Snoring,Silence,0.9999866,0.9999574,0.00024634672
20.64,Breathing,Snoring,Silence,0.9997067,0.99939746,0.0010656558
21.119999999999997,Breathing,Snoring,"Inside, small room",0.9938045,0.99346423,0.0058283694
21.599999999999998,Breathing,Snoring,"Inside, small room",0.99883705,0.99831706,0.001450843
22.08,Speech,"Inside, small room","Narration, monologue",0.88376147,0.030995121,0.0053106686
22.56,Silence,"Inside, small room",White noise,0.61522776,0.09806271,0.025565358
23.04,Silence,"Inside, small room",Tick,0.93158966,0.012942872,0.001074687
23.52,Snoring,Breathing,Silence,0.9991469,0.9991083,0.0038895058
24.0,Breathing,Snoring,Silence,0.9999734,0.9999508,0.0005540235
24.48,Snoring,Breathing,"Inside, small room",0.998282,0.9981164,0.0039793113
24.96,Breathing,Snoring,"Inside, small room",0.99944746,0.9992228,0.00084421027
25.439999999999998,Snoring,Breathing,Mantra,0.98521465,0.9801144,0.025711488
25.919999999999998,Silence,"Inside, small room",Snoring,0.31628042,0.15857057,0.0890782
26.4,Silence,"Inside, small room",Mechanical fan,0.73067445,0.057524756,0.013157176
26.88,Silence,"Inside, small room",Television,0.9611747,0.0060964124,0.00021838777
27.36,Breathing,Snoring,Snort,0.32856545,0.20451996,0.20133325
27.84,Breathing,Snoring,Silence,0.9999636,0.99994344,0.0003716998
28.32,Breathing,Snoring,Mantra,0.9996933,0.9995494,0.0009336785
28.799999999999997,Breathing,Snoring,"Inside, small room",0.9891724,0.98878664,0.017040022
29.279999999999998,Breathing,Snoring,"Inside, small room",0.9995776,0.9994599,0.0015097233
